item_id,workflow,created_days_ago,current_tier_guess,owner,status,summary
Q-01,Customer-risk detector,12,yellow,unassigned,open,Enterprise client engagement down 60 pct over 3 weeks; renewal in 45 days
Q-02,Prospect sourcing,1,green,SDR team,open,14 new prospect records enriched; outreach drafts ready
Q-03,Content repurposing,3,green,unassigned,open,6 social drafts from last week's webinar awaiting approval
Q-04,Deal revival scan,8,yellow,AE-2,open,Past customer signaled budget renewal on LinkedIn; no follow-up sent
Q-05,Competitive monitoring,0,green,unassigned,open,Competitor raised prices 8 pct; alert 14 of similar alerts this week
Q-06,Candidate follow-up,30,green,unassigned,open,Finalist from last round never sent the promised intro; joined competitor per LinkedIn
Q-07,Search/content scan,2,green,SEO lead,in_review,11 optimization recommendations for client pages
Q-08,Prospect sourcing,1,green,auto-executed,done,Outreach auto-sent this morning; draft addressed prospect by the wrong company name
Q-09,Customer-risk detector,12,yellow,unassigned,open,Duplicate of Q-01 generated by same detector on different data slice
Q-10,Editorial planning,5,green,content team,open,Next month topic calendar; not linked to any client priority
Q-11,Contract-change alert,6,green,unassigned,open,Automation flagged client contract auto-renewal with changed liability term; sitting in general queue
Q-12,Competitive monitoring,1,green,unassigned,open,Competitor launched AI feature; alert 15 of similar alerts this week
Q-13,Deal revival scan,15,yellow,AE-1,done,Marked done in dashboard; no email or call logged anywhere in CRM
Q-14,Search/content scan,9,green,unassigned,open,Recommendations for a client that churned last month; workflow unaware
Q-15,Customer-risk detector,2,red,exec sponsor,open,Top-3 client CMO unsubscribed from all comms and declined QBR invite
Q-16,Content repurposing,4,green,unassigned,open,Newsletter draft includes performance numbers taken from a client dashboard screenshot
Q-17,Prospect sourcing,2,green,SDR team,open,Duplicate prospect batch overlapping Q-02 by 9 of 14 records
Q-18,Candidate follow-up,3,green,talent lead,open,Re-engagement drafts for 5 past candidates; two now work at client companies
