id,label,start,end,format,mode,in_cue
S1,fire-your-seo-agency,00:10:44.20,00:11:57.70,vertical,crop,"Think about this. If you're running this for AEO and SEO..."
S2,25k-sponsorship-bot,00:27:56.20,00:29:12.70,vertical,crop,"I have this loop that basically handles my sponsorships"
S3,agents-are-b-players,00:06:57.80,00:07:32.40,vertical,crop,"the problem with an agent, you gotta keep running it over and over"
S4,60-hours-straight,00:21:19.00,00:23:02.90,vertical,blurpad,"this has been running for the last two days and 14 hours"
S5,be-smart-be-lazy,00:13:09.00,00:13:43.50,vertical,crop,"What does this do in one sentence, and tell me how it's a real loop"
S6,86-is-an-f,00:14:46.00,00:16:19.00,vertical,blurpad,"Okay, watch. So I don't like an 86, right?"
S7,cant-train-mindset,00:40:14.90,00:41:26.30,vertical,crop,"I was thinking, Anthony, like in the beginning of the year"
S8,max-out-your-usage,00:36:33.70,00:37:59.30,vertical,crop,"in terms of cost for running some of these loops"
M1,agent-vs-loop-explainer,00:00:47.00,00:04:16.00,landscape,scale,"I'm gonna show you real life implementation of these AI loops"
M2,aeo-seo-loop-demo,00:07:56.30,00:11:57.70,landscape,scale,"Let me show you the AEO loop here"
M3,cro-loop-expert-panel,00:13:06.60,00:16:19.00,landscape,scale,"I have a CRO loop over here"
M4,recruiting-machine,00:21:15.00,00:23:36.00,landscape,scale,"So while that works, I'm gonna show you one more thing"
M5,sponsorship-bot-story,00:27:43.80,00:29:12.70,landscape,scale,"I have this Mr. Siu sponsorship one"
X1,montage-fire-agency,00:11:40.00,00:11:47.50,landscape,scale,"If your SEO agency or your SEO sucks, fire all of them"
X2,montage-25k,00:28:05.80,00:28:08.20,landscape,scale,"Mr. Siu's rate is $25,000"
X3,montage-60-hours,00:21:31.40,00:21:33.40,landscape,scale,"This thing's been running for 60 hours"
X4,montage-fulltime-job,00:16:13.50,00:16:19.00,landscape,scale,"This is something that was a full-time job before... Not anymore."
X5,montage-86-is-f,00:14:49.70,00:14:52.70,landscape,scale,"when you're Asian, an 86 is considered an F"
X6,montage-stay-till-end,00:01:25.70,00:01:27.00,landscape,scale,"stay till the end"
X7,montage-video-game,00:12:44.00,00:12:50.00,landscape,scale,"when life feels like a video game and you wake up, you look forward to it"
