session_id,persona,company_size,signup_source,step_reached,time_spent_min,completed_onboarding,teammates_invited,integrations_connected,active_day_14,verbatim
S-01,Agency producer,35,organic search,2,4,no,0,0,no,"I just wanted to poke around myself first before dragging my team into it"
S-02,Agency owner,12,teammate invite,5,9,yes,4,2,yes,"Pretty smooth since my producer had already set things up"
S-03,Freelancer trialing for client,1,newsletter,2,3,no,0,0,no,"It wouldn't let me continue without inviting 3 people. I work alone."
S-04,Agency ops lead,60,paid ad,3,16,no,3,0,no,"Way too many integration options at once. I didn't know which ones we actually needed."
S-05,Agency producer,35,organic search,5,11,yes,3,2,yes,"Second try after abandoning last week - I came back because a client asked for it"
S-06,Creative director,80,referral,5,13,yes,5,3,no,"Setup was fine but honestly I still don't get what my team does in here day one"
S-07,Agency IT admin,90,sales handoff,3,22,no,0,0,no,"Our security policy requires SSO before anyone else logs in. Couldn't find it in setup."
S-08,Agency producer,25,organic search,4,8,no,1,1,yes,"Skipped the tutorial and figured it out from the sample project - that sample was the useful part"
S-09,Project manager,45,teammate invite,5,6,yes,0,1,yes,"Joining an existing workspace was much easier than what my boss described"
S-10,Agency owner,18,podcast ad,2,5,no,0,0,no,"Asked me to invite people before I'd seen a single screen of the actual product"
S-11,Ops lead,55,organic search,3,19,no,2,0,no,"The integration modal can't be used with a keyboard. I use a keyboard for everything due to RSI."
S-12,Agency producer,40,paid ad,5,14,yes,3,2,no,"Finished everything and then never came back - we already run everything in spreadsheets"
S-13,Freelancer,1,organic search,5,7,yes,0,0,yes,"Once I could skip team invite via the tiny link at the bottom it took five minutes"
S-14,Creative director,70,referral,2,2,no,0,0,no,"Honestly I want MORE hand-holding not less - a guided demo would have kept me going"
S-15,Agency producer,30,organic search,4,10,no,3,1,yes,"Created a project from the template and stopped - didn't realize there was more"
S-16,Agency owner,22,webinar,5,12,yes,6,3,yes,"The 5-minute tutorial is what sold me. Almost quit at the integrations wall before it."
